##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	DRR817419_forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4808641
Total Bases	726.1 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1116	75-79	0.020836403523098568
1116	80-84	0.03587228965960776
1116	85-89	-0.005999127212170663
1116	90-94	0.037069548132357966
1116	95-99	0.005874472272189735
1116	100-104	0.06035401909600324
1116	105-109	-0.003938689730283329
1116	110-114	0.032920787052397316
1116	115-119	0.010323290347827196
1116	120-124	0.05440778989964201
1116	125-129	0.04741471246862261
1116	130-134	0.046573271424968254
1116	135-139	0.08358457569617173
1116	140-144	0.08289002070545592
1116	145-149	0.03067782524942686
1116	150-151	0.18051015427148087
1117	1	0.18837284768795826
1117	2	-0.16857792479341072
1117	3	-0.053233761863374696
1117	4	-0.053870229657420055
1117	5	0.13468973936956274
1117	6	-0.15471131699944607
1117	7	-0.030395296594157628
1117	8	0.09557876855245695
1117	9	0.1776133921274976
1117	10-14	0.12113433926045758
1117	15-19	0.003253647966246831
1117	20-24	-0.003450626371922283
1117	25-29	-0.004308622957189812
1117	30-34	0.04288277483563263
1117	35-39	0.025482559830329876
1117	40-44	0.02584177636148155
1117	45-49	0.06367912177723412
1117	50-54	0.029421675958815285
1117	55-59	0.057679467984399935
1117	60-64	0.025119913883798972
1117	65-69	0.09736785225584299
1117	70-74	0.09571134817652194
1117	75-79	0.016077021899853605
1117	80-84	0.0797654035689277
1117	85-89	0.0031757470761490936
1117	90-94	0.0029029853596398425
1117	95-99	0.019660159842310065
1117	100-104	0.06276228074251833
1117	105-109	0.02010236915680963
1117	110-114	0.0567654863833269
1117	115-119	0.08460434424800667
1117	120-124	0.0314430722833805
1117	125-129	0.09706770669212261
1117	130-134	0.07919493123463184
1117	135-139	0.12259467418763137
1117	140-144	0.1451370389492368
1117	145-149	0.12002869588068421
1117	150-151	0.29474933891179944
1118	1	0.2995976158276221
1118	2	0.12342971295890948
1118	3	0.022870984454137044
1118	4	0.14955312004251908
1118	5	0.057357497143705416
1118	6	0.1027218526677629
1118	7	0.12113225386956117
1118	8	0.0026982448208698884
1118	9	0.1592691477194279
1118	10-14	0.08516870914588992
1118	15-19	0.051616986755121275
1118	20-24	0.05072285971646551
1118	25-29	0.05004216809572881
1118	30-34	-0.058753886375491504
1118	35-39	0.008624949355684919
1118	40-44	-0.003931818837642709
1118	45-49	-0.0025511018998045643
1118	50-54	0.018115074758597416
1118	55-59	-0.07261240326491247
1118	60-64	0.03234850089961583
1118	65-69	-0.04918152035735801
1118	70-74	-0.027992961698004137
1118	75-79	-0.00548598955678159
1118	80-84	-0.06306056478894817
1118	85-89	-0.01964203797567876
1118	90-94	-0.05740798027047589
1118	95-99	0.017982582100906086
1118	100-104	-0.008623425749576086
1118	105-109	-0.039853986544230224
1118	110-114	0.04234922888195314
1118	115-119	0.06061361866154158
1118	120-124	0.03046107555670119
1118	125-129	-0.01400703416985749
1118	130-134	0.05168538404423373
1118	135-139	0.036997292845576624
1118	140-144	-0.0024625246077789598
1118	145-149	0.036258919557717206
1118	150-151	0.10458976444371615
1119	1	0.0240453437805499
1119	2	-0.014974663694268031
1119	3	-0.13300818842527917
1119	4	0.11961327475688677
1119	5	-0.009430144041921551
1119	6	-0.019625987721362037
1119	7	-0.037502549582796973
1119	8	0.061267527898543506
1119	9	0.0444817653797287
1119	10-14	0.06411051465013884
1119	15-19	0.06752306882545156
1119	20-24	0.05761894655926625
1119	25-29	0.08122447381972364
1119	30-34	0.03546926577467957
1119	35-39	0.009071458575725444
1119	40-44	-0.023082103163709178
1119	45-49	0.005798836219845782
1119	50-54	0.05803127339048331
1119	55-59	0.10449968510939556
1119	60-64	0.025003747787401664
1119	65-69	0.05161847532853869
1119	70-74	0.013628384462585075
1119	75-79	0.042135189432478626
1119	80-84	0.08099042785820387
1119	85-89	0.021195220738121634
1119	90-94	0.03386864243732646
1119	95-99	0.07637984049116398
1119	100-104	0.05446379723810679
1119	105-109	0.0768294421935991
1119	110-114	0.04412555903993365
1119	115-119	0.06569778403171966
1119	120-124	0.04191069362415334
1119	125-129	0.10318437969512217
